-10,46
-10,45
-10,43
-22,44
-15,44
-10,45
-5,47
-10,48
-5,48
-5,46
-5,45
-5,44
-10,44
-10,45
-6,46
-6,47
-6,48
-5,48
-5,48
-5,48
-5,48
-5,50
0,51
-5,52
-5,52
-5,53
-5,53
-5,52
-5,51
-5,51
-5,49
0,47
0,46
0,45
5,44
5,43
0,41
0,40
0,38
-5,36
-5,37
-5,37
-10,39
-15,39
-15,40
-15,40
-15,40
-5,39
-5,39
-2,38
0,35
0,34
2,33
0,31
0,31
5,30
0,32
0,33
-5,33
-5,33
-5,32
-3,31
-3,31
0,31
0,31
0,30
0,29
0,28
0,26
0,22
0,17
0,13
0,9
0,8
-3,8
-5,10
-14,15
-15,19
-15,19
-12,19
-15,20
-15,23
-15,26
-10,26
-5,27
-5,31
-5,33
-5,33
-15,32
-85,28
-120,24
-35,20
45,14
95,11
95,11
95,12
95,14
110,15
120,16
105,17
10,18
-20,19
-30,20
-30,21
-5,24
-10,28
-5,30
-5,34
-5,37
-10,39
-10,40
-14,41
-10,42
-5,42
0,42
0,43
0,44
0,45
0,46
0,46
