-30,6
-28,8
-26,8
-23,8
-35,8
-45,8
-48,8
-30,9
15,9
56,9
84,10
75,10
25,13
-15,14
-15,14
-15,15
-9,16
-10,16
-10,16
-10,15
-10,15
-10,15
-8,16
-7,17
-7,17
-6,16
-6,13
-39,12
-23,12
-10,12
10,15
20,16
5,19
4,21
0,16
0,12
26,11
20,10
-15,10
-15,10
-15,10
-10,9
-15,9
-18,9
-20,9
-18,11
-17,13
-16,14
-15,15
-15,17
20,17
20,17
10,18
0,20
3,22
10,21
10,21
-10,21
-12,23
-13,23
-12,22
-12,20
-10,20
-5,19
30,17
50,17
100,17
102,17
100,16
90,16
75,18
50,20
40,22
34,22
-5,24
3,25
-4,27
-5,30
-5,32
-5,32
-6,34
-9,35
-8,35
-5,35
-7,35
-9,34
0,35
-8,36
-6,35
-8,34
-9,34
-10,33
-10,33
-8,34
-10,35
-18,37
-15,37
-18,34
-19,32
-19,30
-20,27
-28,25
-8,22
-6,20
-14,15
-15,10
-19,8
-16,7
-10,6
-10,5
-10,3
-10,1
-10,1
-10,0
-10,0
-10,0
-10,0
-10,0
-10,0
-10,0
